 x y
0 0.208404720030209 0.0
1 0.22468194589330417 0.0
2 0.24223048692507604 0.0
3 0.26114963782547534 0.0
4 0.2815464485998887 0.004594059405940595
5 0.30353633027890453 0.015287128712871287
6 0.32724370794716756 0.039683168316831684
7 0.3528027247763483 0.09386138613861388
8 0.38035800104584744 0.19287128712871288
9 0.41006545244599435 0.3546138613861386
10 0.44209317229393374 0.5883564356435643
11 0.47662238265403273 0.8494257425742575
12 0.5138484597445214 1.0
13 0.5539820394324132 0.939960396039604
14 0.5972502090719127 0.7295049504950496
15 0.6438977924300784 0.4965544554455446
16 0.6941887349702164 0.3064554455445545
17 0.7484075973313407 0.168
18 0.8068611654542355 0.08475247524752476
19 0.8698801864646765 0.02906930693069307
20 0.9378212401359391 0.0
