 x y
0 12448533718.824478 0.0
1 13031445738.137274 0.0
2 13641653054.2243 0.0
3 14280433790.029173 0.00341296928327645
4 14949125917.57033 0.0068259385665529
5 15649130060.419296 0.0068259385665529
6 16381912427.407093 0.00341296928327645
7 17149007883.703691 0.19112627986348124
8 17952023165.703083 0.6655290102389078
9 18792640246.447773 1.0
10 19672619858.64183 0.9078498293515358
11 20593805182.63168 0.6075085324232081
12 21558125707.07942 0.3310580204778157
13 22567601270.415035 0.15699658703071673
14 23624346291.53274 0.06825938566552901
15 24730574198.592827 0.0273037542662116
16 25888602065.205536 0.010238907849829351
17 27100855463.70775 0.00341296928327645
18 28369873545.69804 0.0
19 29698314360.471615 0.0
20 31088960422.49501 0.0
